cell_id,wilaya,band,users,latency_ms,packet_loss_pct,traffic_mbps,availability_pct,is_anomaly
DZ-CELL-1212,Ouargla,n78 (3.5 GHz 5G),1113,17.47,0.4,426.23,99.92,0
DZ-CELL-1213,Ouargla,B7 (2600 MHz LTE),603,28.04,0.33,564.86,99.93,0
DZ-CELL-1214,Setif,B7 (2600 MHz LTE),1077,30.54,0.83,536.5,99.88,0
DZ-CELL-1215,Ouargla,B3 (1800 MHz LTE),732,23.66,0.05,474.32,99.74,0
DZ-CELL-1216,Tlemcen,B3 (1800 MHz LTE),218,30.79,0.59,413.76,99.81,0
DZ-CELL-1217,Ghardaia,n78 (3.5 GHz 5G),953,34.96,0.48,416.92,99.37,0
DZ-CELL-1218,Annaba,B7 (2600 MHz LTE),635,25.31,0.13,455.09,99.94,0
DZ-CELL-1219,Ghardaia,n78 (3.5 GHz 5G),930,29.72,0.67,652.49,99.99,0
DZ-CELL-1220,Blida,B20 (800 MHz LTE),734,31.89,0.05,213.33,99.91,0
DZ-CELL-1221,Ghardaia,B7 (2600 MHz LTE),1044,33.85,0.37,489.61,99.45,0
DZ-CELL-1222,Annaba,B3 (1800 MHz LTE),825,27.47,0.14,567.37,99.96,0
DZ-CELL-1223,Biskra,B7 (2600 MHz LTE),574,22.0,1.45,745.63,99.81,0
DZ-CELL-1224,Tlemcen,B20 (800 MHz LTE),672,29.64,0.07,399.19,99.62,0
DZ-CELL-1225,Setif,B3 (1800 MHz LTE),671,39.63,0.05,772.95,99.61,0
DZ-CELL-1226,Ouargla,B20 (800 MHz LTE),784,33.14,0.55,388.97,99.88,0
DZ-CELL-1227,Blida,n78 (3.5 GHz 5G),868,22.5,1.31,473.62,99.62,0
DZ-CELL-1228,Biskra,B20 (800 MHz LTE),751,47.08,0.24,548.11,99.99,0
DZ-CELL-1229,Algiers,B3 (1800 MHz LTE),1302,42.48,0.28,486.27,99.99,0
DZ-CELL-1230,Tizi Ouzou,B20 (800 MHz LTE),711,36.52,0.13,426.9,99.72,0
DZ-CELL-1231,Constantine,B20 (800 MHz LTE),640,21.15,0.95,490.45,99.58,0
DZ-CELL-1232,Algiers,B3 (1800 MHz LTE),770,35.84,0.27,577.14,99.85,0
DZ-CELL-1233,Bejaia,n78 (3.5 GHz 5G),832,24.7,0.48,479.41,99.65,0
DZ-CELL-1234,Blida,B20 (800 MHz LTE),1138,27.74,1.45,492.46,99.93,0
DZ-CELL-1235,Tlemcen,B3 (1800 MHz LTE),841,72.35,5.03,756.93,98.58,1
DZ-CELL-1236,Tizi Ouzou,B7 (2600 MHz LTE),1018,30.56,0.34,533.32,99.68,0
DZ-CELL-1237,Setif,B3 (1800 MHz LTE),663,38.25,1.06,432.95,99.94,0
DZ-CELL-1238,Tiaret,n78 (3.5 GHz 5G),729,28.13,1.01,374.94,99.88,0
DZ-CELL-1239,Algiers,B7 (2600 MHz LTE),943,26.48,0.96,502.4,99.67,0
DZ-CELL-1240,Blida,n78 (3.5 GHz 5G),964,32.04,0.24,363.14,99.57,0
DZ-CELL-1241,Oran,B20 (800 MHz LTE),944,23.08,0.05,451.92,99.84,0
DZ-CELL-1242,Bejaia,B20 (800 MHz LTE),1244,33.68,0.99,501.38,99.96,0
DZ-CELL-1243,Biskra,B3 (1800 MHz LTE),772,34.03,0.35,513.46,99.75,0
DZ-CELL-1244,Tiaret,B20 (800 MHz LTE),783,17.34,0.78,246.6,99.86,0
DZ-CELL-1245,Chlef,B20 (800 MHz LTE),716,28.26,0.09,589.2,99.75,0
DZ-CELL-1246,Biskra,n78 (3.5 GHz 5G),725,28.92,0.19,657.69,99.79,0
DZ-CELL-1247,Blida,n78 (3.5 GHz 5G),779,20.61,0.83,616.82,99.87,0
DZ-CELL-1248,Tiaret,B20 (800 MHz LTE),858,33.02,0.06,350.31,99.77,0
DZ-CELL-1249,Chlef,B7 (2600 MHz LTE),1111,28.98,0.82,537.67,99.93,0
DZ-CELL-1250,Annaba,n78 (3.5 GHz 5G),1152,39.59,0.32,369.96,99.99,0
DZ-CELL-1251,Biskra,n78 (3.5 GHz 5G),700,39.72,1.25,335.16,99.59,0
DZ-CELL-1252,Biskra,B7 (2600 MHz LTE),1009,37.01,0.49,525.08,99.78,0
DZ-CELL-1253,Bejaia,B20 (800 MHz LTE),796,24.75,0.27,496.51,99.88,0
DZ-CELL-1254,Tlemcen,B3 (1800 MHz LTE),880,40.25,0.22,421.11,99.73,0
DZ-CELL-1255,Setif,B20 (800 MHz LTE),830,30.34,0.88,526.39,99.93,0
DZ-CELL-1256,Annaba,n78 (3.5 GHz 5G),893,34.38,0.74,377.1,99.65,0
DZ-CELL-1257,Ouargla,B20 (800 MHz LTE),1088,36.95,0.05,437.49,99.76,0
DZ-CELL-1258,Batna,n78 (3.5 GHz 5G),649,32.69,0.12,477.86,99.93,0
DZ-CELL-1259,Batna,B7 (2600 MHz LTE),783,19.95,0.16,565.72,99.73,0
DZ-CELL-1260,Chlef,n78 (3.5 GHz 5G),944,38.74,0.4,468.51,99.68,0
DZ-CELL-1261,Ouargla,B7 (2600 MHz LTE),812,32.62,1.45,428.62,99.61,0
DZ-CELL-1262,Biskra,B3 (1800 MHz LTE),688,32.27,0.8,377.99,99.98,0
DZ-CELL-1263,Setif,B20 (800 MHz LTE),902,33.99,0.8,550.61,99.58,0
DZ-CELL-1264,Oran,B7 (2600 MHz LTE),993,52.0,0.25,408.05,99.7,0
DZ-CELL-1265,Biskra,B20 (800 MHz LTE),447,38.64,0.26,505.3,99.81,0
DZ-CELL-1266,Annaba,B7 (2600 MHz LTE),1118,45.12,0.55,488.3,99.98,0
DZ-CELL-1267,Constantine,B3 (1800 MHz LTE),497,30.08,0.48,215.7,99.4,0
DZ-CELL-1268,Algiers,B7 (2600 MHz LTE),1175,36.58,0.32,411.51,99.94,0
DZ-CELL-1269,Batna,B3 (1800 MHz LTE),892,28.7,0.05,237.15,99.97,0
DZ-CELL-1270,Batna,n78 (3.5 GHz 5G),801,16.49,0.1,314.48,99.95,0
DZ-CELL-1271,Tizi Ouzou,B7 (2600 MHz LTE),1017,30.46,0.05,480.76,99.95,0
DZ-CELL-1272,Tiaret,n78 (3.5 GHz 5G),1088,27.67,0.38,273.73,99.46,0
