customer_id,wilaya,subscription,tenure_months,monthly_spend_dzd,data_usage_gb,calls_count,complaints,recharge_frequency,usage_drop_pct,churn
C10033,Annaba,Prepaid,44,1180.24,5.4,48,1,5,8.2,0
C10034,Batna,Postpaid,18,2986.85,5.58,38,1,1,30.6,0
C10035,Bejaia,Prepaid,9,1395.59,6.05,44,0,4,25.3,0
C10036,Setif,Prepaid,12,1501.91,1.24,53,1,2,43.9,1
C10037,Ouargla,Postpaid,9,2461.26,33.16,82,0,1,7.4,0
C10038,Ghardaia,Prepaid,21,986.38,6.58,49,0,4,6.4,0
C10039,Algiers,Postpaid,19,2608.19,10.37,49,0,1,4.2,0
C10040,Ouargla,Prepaid,29,1491.67,13.55,69,0,3,11.1,0
C10041,Ouargla,Prepaid,9,1475.2,23.53,55,1,1,-18.0,1
C10042,Constantine,Postpaid,15,2416.56,49.05,77,2,1,-20.0,0
C10043,Tiaret,Prepaid,20,1551.17,20.51,49,2,3,-11.7,0
C10044,Tlemcen,Postpaid,4,2948.07,1.69,76,1,1,17.9,1
C10045,Blida,Postpaid,57,3740.97,0.5,42,1,1,-9.1,0
C10046,Setif,Prepaid,3,2122.17,10.1,63,1,3,39.5,1
C10047,Constantine,Postpaid,3,2563.89,5.58,56,0,1,11.9,0
C10048,Annaba,Prepaid,21,930.06,8.99,41,1,4,1.7,0
C10049,Ouargla,Prepaid,4,1304.23,0.56,48,1,6,36.3,1
C10050,Blida,Prepaid,11,1112.09,6.44,41,0,6,36.3,0
C10051,Oran,Postpaid,72,3327.72,3.89,2,0,1,10.3,0
C10052,Oran,Prepaid,10,859.23,15.91,68,1,3,16.9,0
C10053,Tlemcen,Prepaid,11,2191.02,14.54,17,0,2,-20.0,0
C10054,Oran,Prepaid,11,1087.0,2.67,28,1,2,-20.0,1
C10055,Blida,Postpaid,14,2010.08,4.18,54,0,1,28.2,0
C10056,Ghardaia,Prepaid,3,1671.68,7.76,25,0,2,3.5,0
C10057,Blida,Prepaid,25,569.24,0.75,12,0,7,-0.0,0
C10058,Bejaia,Prepaid,24,2120.78,37.14,25,2,1,19.2,1
C10059,Setif,Prepaid,17,1322.16,22.2,50,0,3,7.0,0
C10060,Ouargla,Postpaid,20,3949.01,23.75,68,0,1,-1.9,0
C10061,Algiers,Prepaid,17,2238.22,10.98,66,1,3,-20.0,0
C10062,Tiaret,Prepaid,23,2023.66,2.3,53,0,3,35.8,0
C10063,Batna,Prepaid,43,1601.02,1.64,36,1,4,47.2,0
C10064,Chlef,Prepaid,27,938.92,10.95,70,0,5,-11.5,0
C10065,Oran,Postpaid,3,3572.43,13.23,106,0,1,59.6,0
C10066,Tizi Ouzou,Postpaid,8,2906.45,18.67,89,2,1,78.5,1
C10067,Tlemcen,Prepaid,14,1186.56,35.33,2,0,4,46.8,0
C10068,Oran,Prepaid,13,648.43,7.6,18,1,3,61.2,0
C10069,Chlef,Prepaid,7,1658.33,1.25,23,1,3,-1.9,1
C10070,Setif,Prepaid,19,1327.82,0.95,23,1,7,-20.0,0
C10071,Ghardaia,Prepaid,6,1501.85,14.46,30,0,1,38.4,1
C10072,Biskra,Prepaid,9,1035.84,14.81,58,0,2,9.0,0
C10073,Bejaia,Prepaid,19,1526.38,4.86,61,1,1,-20.0,1
C10074,Tizi Ouzou,Postpaid,11,3281.86,4.37,9,0,1,46.2,0
C10075,Ghardaia,Prepaid,19,1351.64,22.52,47,0,4,68.9,0
C10076,Blida,Prepaid,18,1308.01,4.45,50,0,1,-20.0,0
C10077,Bejaia,Prepaid,32,1636.3,15.31,82,0,5,11.0,0
C10078,Annaba,Prepaid,10,1413.05,12.94,52,0,3,-20.0,0
C10079,Tiaret,Prepaid,7,1926.82,38.67,41,1,6,0.6,0
C10080,Oran,Prepaid,3,1893.56,16.32,86,0,3,32.7,0
C10081,Algiers,Postpaid,6,3204.16,34.9,42,0,1,13.1,0
C10082,Biskra,Prepaid,33,1459.8,16.5,71,1,4,-20.0,0
C10083,Annaba,Postpaid,22,2735.0,0.5,50,1,1,14.0,0
C10084,Ouargla,Postpaid,11,3176.24,3.66,37,0,1,20.6,0
C10085,Setif,Prepaid,13,1467.49,5.37,52,0,5,21.7,0
C10086,Oran,Prepaid,27,1423.51,9.15,79,0,2,3.9,0
C10087,Ghardaia,Prepaid,8,1796.83,4.92,27,0,1,14.1,1
C10088,Annaba,Prepaid,6,1741.31,40.54,43,0,4,-13.1,0
C10089,Ghardaia,Postpaid,35,3653.72,3.49,36,0,1,-0.9,0
C10090,Oran,Prepaid,12,813.21,23.69,58,0,2,20.1,0
C10091,Tlemcen,Prepaid,8,1482.35,30.74,39,3,2,-6.3,1
C10092,Setif,Prepaid,4,1034.53,3.48,47,1,2,14.6,1
C10093,Batna,Prepaid,36,1571.57,4.35,88,2,4,35.5,1
C10094,Biskra,Prepaid,32,2165.84,5.71,51,1,3,25.5,0
C10095,Ghardaia,Prepaid,19,1423.22,10.87,18,1,4,21.2,0
C10096,Blida,Postpaid,36,1663.03,5.01,52,1,1,-20.0,0
C10097,Constantine,Prepaid,10,1588.61,20.6,3,1,3,-20.0,0
C10098,Blida,Prepaid,26,1893.65,14.88,35,0,3,31.3,0
C10099,Blida,Prepaid,5,2230.07,31.43,53,0,3,-16.3,0
C10100,Annaba,Postpaid,23,2581.2,20.63,58,2,1,19.9,0
C10101,Biskra,Postpaid,7,2567.65,3.13,87,0,1,18.2,0
C10102,Setif,Prepaid,10,1897.88,12.83,2,0,2,34.6,1
C10103,Tiaret,Prepaid,16,1114.5,13.48,22,1,3,-6.9,0
C10104,Tizi Ouzou,Prepaid,7,1259.45,3.13,61,0,4,21.9,0
C10105,Biskra,Prepaid,17,1076.53,22.65,62,0,4,17.9,0
C10106,Biskra,Postpaid,57,2152.03,0.87,52,0,1,-10.8,0
C10107,Oran,Postpaid,16,3992.48,78.52,64,1,1,30.3,0
C10108,Bejaia,Prepaid,34,1344.63,5.94,82,0,2,20.6,0
C10109,Biskra,Prepaid,15,2290.41,4.54,67,0,3,51.9,0
C10110,Constantine,Prepaid,22,1057.19,49.76,33,0,2,14.4,0
C10111,Chlef,Prepaid,14,1931.2,2.5,9,0,5,-17.4,0
C10112,Tiaret,Prepaid,4,1263.8,5.75,19,1,3,31.2,0
C10113,Annaba,Prepaid,12,1225.37,9.01,74,2,4,7.4,0
C10114,Constantine,Prepaid,15,1381.39,38.03,25,0,3,0.3,0
C10115,Batna,Prepaid,30,1573.24,15.39,112,0,1,-8.5,0
C10116,Tlemcen,Prepaid,10,2357.02,25.49,27,2,4,39.1,1
C10117,Setif,Prepaid,34,1993.52,14.75,83,0,1,40.1,0
C10118,Tizi Ouzou,Postpaid,45,2894.8,15.42,27,1,1,7.6,0
C10119,Biskra,Postpaid,18,1931.36,7.06,16,1,1,-20.0,0
C10120,Tiaret,Prepaid,46,1904.91,27.86,32,0,1,3.6,0
C10121,Chlef,Prepaid,4,577.3,20.27,63,1,6,34.0,1
C10122,Annaba,Prepaid,14,1676.54,4.69,45,0,1,19.5,0
C10123,Biskra,Prepaid,43,1786.54,2.8,43,1,2,61.2,1
C10124,Blida,Prepaid,22,1511.96,0.62,58,0,5,18.5,0
C10125,Ghardaia,Prepaid,17,698.7,25.64,41,0,5,33.8,0
C10126,Ouargla,Postpaid,30,2162.23,13.69,96,0,1,-15.9,0
C10127,Ouargla,Prepaid,22,1421.91,13.08,14,0,3,21.7,0
C10128,Algiers,Postpaid,72,2077.61,7.83,69,1,1,42.6,0
C10129,Annaba,Prepaid,11,849.61,6.14,48,0,2,-4.2,0
C10130,Ghardaia,Prepaid,26,1631.31,5.49,75,2,6,-15.2,0
C10131,Algiers,Prepaid,48,904.65,10.74,45,1,4,-7.6,0
C10132,Ouargla,Postpaid,25,1890.0,68.47,49,1,1,34.5,0
C10133,Blida,Prepaid,19,1651.87,17.27,30,0,4,-18.3,0
C10134,Tlemcen,Prepaid,27,2477.87,10.15,47,2,1,36.0,1
C10135,Setif,Postpaid,35,2969.49,5.09,44,0,1,-3.9,0
C10136,Oran,Postpaid,38,2453.65,27.73,47,0,1,35.4,0
C10137,Annaba,Prepaid,24,1214.14,0.99,49,1,2,28.2,1
C10138,Tizi Ouzou,Prepaid,2,795.15,13.53,26,0,4,25.4,0
C10139,Bejaia,Prepaid,18,1231.46,1.81,38,0,2,22.6,0
C10140,Tizi Ouzou,Prepaid,18,1401.52,13.69,68,0,1,-11.1,0
C10141,Tiaret,Postpaid,4,2453.9,18.52,41,1,1,0.6,0
C10142,Blida,Prepaid,29,1001.78,0.5,52,0,1,14.6,0
C10143,Annaba,Prepaid,2,2430.28,2.28,27,0,3,10.7,1
C10144,Biskra,Prepaid,8,400.0,16.31,70,0,2,31.9,0
C10145,Batna,Prepaid,15,1860.67,14.17,54,0,4,15.8,0
C10146,Tlemcen,Prepaid,17,2261.06,1.03,52,0,2,-18.7,0
C10147,Tizi Ouzou,Prepaid,26,1978.91,4.31,63,0,5,39.9,0
C10148,Tizi Ouzou,Prepaid,5,1148.77,14.46,60,0,5,-1.1,0
C10149,Biskra,Postpaid,41,3769.53,1.92,71,0,1,-11.1,0
C10150,Batna,Prepaid,24,1473.85,30.52,41,1,3,22.6,0
C10151,Constantine,Postpaid,14,2783.68,18.25,44,1,1,19.5,0
C10152,Setif,Postpaid,15,2544.17,9.87,60,1,1,72.5,0
C10153,Constantine,Prepaid,24,519.62,20.05,67,0,3,8.7,0
C10154,Annaba,Prepaid,14,974.74,18.49,17,0,3,2.1,0
C10155,Tiaret,Postpaid,15,2609.55,2.26,23,0,1,-5.4,0
C10156,Chlef,Prepaid,19,1866.3,0.5,31,0,5,44.2,0
C10157,Chlef,Prepaid,10,2679.1,11.54,32,0,3,55.8,1
C10158,Setif,Postpaid,28,2241.73,17.22,33,1,1,-13.5,0
C10159,Tiaret,Prepaid,8,1332.38,85.0,61,1,5,61.5,1
C10160,Bejaia,Postpaid,14,1976.36,12.41,5,0,1,-20.0,0
C10161,Tlemcen,Prepaid,18,515.78,25.83,43,0,4,10.2,0
C10162,Tizi Ouzou,Prepaid,16,2286.13,2.42,65,0,4,24.9,0
C10163,Bejaia,Prepaid,15,1298.16,4.02,43,0,3,7.4,0
C10164,Tlemcen,Prepaid,16,1026.39,7.41,23,0,3,21.2,0
C10165,Blida,Prepaid,3,1135.47,11.66,60,0,1,17.0,1
C10166,Annaba,Prepaid,9,994.87,1.71,106,1,4,19.4,1
C10167,Constantine,Prepaid,15,985.49,8.69,67,0,4,30.5,0
C10168,Chlef,Prepaid,40,1428.51,2.52,30,0,2,18.1,0
C10169,Batna,Prepaid,12,1655.71,10.83,46,0,4,22.5,0
C10170,Oran,Postpaid,38,2230.71,4.74,16,1,1,44.7,0
C10171,Ouargla,Prepaid,17,1826.39,5.33,62,2,4,1.3,0
C10172,Algiers,Postpaid,7,2875.34,29.97,52,1,1,13.0,0
C10173,Ghardaia,Postpaid,35,3531.02,2.48,69,0,1,44.7,0
C10174,Oran,Prepaid,8,1698.22,17.34,76,0,3,47.9,0
C10175,Constantine,Prepaid,15,400.0,17.43,36,1,2,0.9,0
C10176,Biskra,Prepaid,45,1238.84,25.78,75,0,1,15.9,0
C10177,Constantine,Prepaid,6,1993.84,25.4,59,0,2,49.4,1
C10178,Ouargla,Prepaid,7,1061.13,39.0,19,2,4,-15.3,1
C10179,Biskra,Postpaid,26,3834.92,27.99,2,0,1,21.3,0
C10180,Tlemcen,Prepaid,11,1354.73,27.36,57,0,3,19.9,0
C10181,Bejaia,Postpaid,7,3305.89,1.67,39,1,1,9.4,0
C10182,Oran,Prepaid,2,1251.87,19.03,24,0,2,38.8,1
C10183,Tlemcen,Postpaid,27,2177.93,0.92,73,1,1,21.6,0
C10184,Tlemcen,Postpaid,19,3250.68,7.98,32,1,1,11.6,0
C10185,Bejaia,Prepaid,36,2274.79,1.54,12,0,3,69.3,0
C10186,Batna,Postpaid,42,2997.24,4.11,52,0,1,-0.3,0
C10187,Chlef,Prepaid,14,400.0,3.25,64,0,1,7.3,0
C10188,Setif,Postpaid,23,4375.06,1.28,62,0,1,7.0,0
C10189,Chlef,Prepaid,16,1938.07,7.67,14,0,2,21.7,0
C10190,Ghardaia,Prepaid,30,1128.81,4.17,51,0,2,55.3,1
C10191,Algiers,Prepaid,8,400.0,19.47,26,0,3,9.4,0
C10192,Biskra,Postpaid,36,3352.11,14.15,48,1,1,24.5,0
C10193,Tiaret,Prepaid,6,1454.28,9.32,33,0,1,-20.0,0
C10194,Oran,Prepaid,31,1613.6,4.51,31,0,6,8.4,0
C10195,Biskra,Postpaid,20,2769.21,12.22,32,0,1,54.6,0
C10196,Tizi Ouzou,Prepaid,6,1194.59,0.5,38,1,2,0.9,1
C10197,Chlef,Prepaid,34,808.3,61.96,34,0,1,-5.2,0
C10198,Ouargla,Prepaid,16,1162.15,0.5,45,0,2,8.5,0
C10199,Setif,Prepaid,15,1514.49,57.9,56,0,5,12.3,0
C10200,Ouargla,Prepaid,24,400.0,20.09,97,1,5,-11.6,0
C10201,Biskra,Prepaid,14,1163.95,5.97,58,0,3,10.7,0
C10202,Blida,Prepaid,13,1950.48,13.57,38,0,6,-16.9,0
C10203,Oran,Prepaid,4,1526.87,10.67,40,1,4,22.0,1
C10204,Setif,Postpaid,6,2765.93,6.59,28,1,1,-1.3,0
C10205,Tlemcen,Prepaid,16,1542.78,43.74,80,0,4,44.1,0
C10206,Constantine,Postpaid,25,900.0,17.96,42,1,1,-9.3,0
C10207,Batna,Postpaid,8,2155.43,4.89,59,0,1,33.1,0
C10208,Algiers,Prepaid,22,1103.08,26.18,63,0,5,14.3,0
C10209,Tiaret,Prepaid,3,583.72,23.12,41,1,2,15.8,1
C10210,Tizi Ouzou,Prepaid,16,991.46,1.06,49,0,3,-10.0,0
C10211,Tiaret,Prepaid,29,1303.09,14.32,45,1,1,49.0,0
C10212,Setif,Prepaid,16,1901.85,1.04,75,1,6,36.1,0
C10213,Chlef,Postpaid,33,4393.78,9.61,67,0,1,23.4,0
C10214,Ouargla,Prepaid,8,1960.52,4.52,48,1,2,35.6,1
C10215,Constantine,Prepaid,13,1011.23,21.78,67,1,2,9.3,0
C10216,Chlef,Postpaid,20,2221.21,17.04,18,0,1,28.1,0
C10217,Tizi Ouzou,Prepaid,17,1498.66,14.47,41,0,3,25.2,0
C10218,Oran,Prepaid,4,400.0,0.75,16,1,1,23.2,1
C10219,Ghardaia,Prepaid,12,2451.9,13.1,24,0,4,24.4,0
C10220,Biskra,Prepaid,33,715.65,30.93,62,0,2,1.4,0
C10221,Setif,Prepaid,3,1459.51,9.51,26,0,3,75.3,1
C10222,Ghardaia,Prepaid,24,1379.16,20.82,72,1,1,9.1,0
C10223,Biskra,Prepaid,18,2174.51,51.2,18,1,4,19.3,0
C10224,Chlef,Postpaid,1,1991.41,19.27,11,0,1,15.5,0
C10225,Bejaia,Postpaid,14,2177.49,13.64,41,1,1,23.1,0
C10226,Annaba,Prepaid,44,892.45,4.8,42,0,4,23.3,0
C10227,Constantine,Prepaid,8,2444.77,3.88,60,0,3,1.8,0
C10228,Blida,Prepaid,14,2086.42,2.54,46,0,2,26.2,0
C10229,Ouargla,Prepaid,3,1631.09,13.63,51,1,2,25.6,1
C10230,Constantine,Prepaid,15,778.34,15.38,19,0,4,52.1,0
C10231,Chlef,Prepaid,25,1296.26,5.43,61,1,1,11.2,0
C10232,Ouargla,Prepaid,58,1276.49,35.28,13,1,2,-1.2,0
C10233,Tizi Ouzou,Prepaid,20,1475.2,21.69,70,0,1,-20.0,0
C10234,Chlef,Prepaid,9,1101.15,3.49,27,0,3,4.8,0
C10235,Tizi Ouzou,Postpaid,4,3889.2,4.65,50,0,1,10.3,0
C10236,Algiers,Postpaid,12,900.0,5.64,55,1,1,15.3,0
C10237,Bejaia,Prepaid,22,1602.15,14.88,64,0,4,17.7,0
C10238,Blida,Prepaid,11,1359.24,0.79,2,1,4,-12.2,0
C10239,Batna,Prepaid,36,1810.28,5.51,33,1,1,3.5,0
C10240,Algiers,Postpaid,10,3524.54,11.01,53,1,1,25.5,1
C10241,Oran,Postpaid,3,3115.41,10.1,53,0,1,30.2,0
C10242,Tizi Ouzou,Postpaid,33,3247.1,18.28,58,1,1,1.6,0
C10243,Blida,Prepaid,22,1789.47,9.6,49,0,4,26.4,0
C10244,Tizi Ouzou,Prepaid,13,1364.2,3.75,58,1,3,27.5,0
C10245,Ghardaia,Prepaid,50,1419.97,11.26,36,0,4,3.0,0
C10246,Ouargla,Prepaid,21,1804.93,11.87,17,2,4,5.8,0
C10247,Setif,Prepaid,7,849.1,18.47,72,0,1,1.6,0
C10248,Annaba,Prepaid,12,1318.34,15.58,59,0,3,6.0,0
C10249,Algiers,Prepaid,13,1135.98,0.98,46,0,3,9.2,0
C10250,Annaba,Prepaid,10,2250.76,3.22,33,0,1,-8.0,0
C10251,Tizi Ouzou,Prepaid,17,1597.97,12.79,42,0,2,-17.5,0
C10252,Bejaia,Prepaid,36,1906.84,12.75,27,2,1,28.8,1
C10253,Oran,Prepaid,46,1762.36,12.24,47,0,3,29.3,0
C10254,Oran,Prepaid,12,1610.23,1.36,44,2,3,4.1,0
C10255,Tiaret,Prepaid,16,1356.62,17.53,63,0,1,22.4,0
C10256,Batna,Prepaid,9,964.74,18.47,32,0,3,0.5,0
C10257,Ghardaia,Postpaid,22,2894.15,3.13,64,0,1,36.7,0
C10258,Oran,Prepaid,14,1090.22,4.38,100,0,5,22.6,0
C10259,Ouargla,Postpaid,59,2112.11,8.18,85,1,1,3.0,0
C10260,Chlef,Prepaid,17,440.16,1.56,47,1,4,-16.4,0
C10261,Ouargla,Prepaid,24,880.57,1.64,69,0,4,-12.1,0
C10262,Constantine,Prepaid,1,1666.42,5.15,60,2,4,17.1,0
C10263,Constantine,Postpaid,33,1208.83,15.82,41,2,1,66.4,0
C10264,Biskra,Prepaid,7,1667.39,2.53,41,0,2,39.4,1
C10265,Batna,Prepaid,13,1612.48,10.25,41,0,3,-19.4,0
C10266,Chlef,Prepaid,18,1622.52,10.9,6,1,1,15.0,0
C10267,Constantine,Prepaid,21,1862.14,1.75,27,0,3,25.8,0
C10268,Setif,Prepaid,29,1282.69,0.5,53,1,1,80.5,1
C10269,Chlef,Prepaid,6,1819.12,25.32,86,2,3,42.4,1
C10270,Ghardaia,Prepaid,21,1251.19,6.87,46,2,2,36.2,0
C10271,Bejaia,Postpaid,19,2236.17,7.96,37,1,1,-11.9,0
C10272,Tlemcen,Prepaid,10,1307.74,14.97,41,1,5,31.3,0
C10273,Annaba,Prepaid,20,2156.5,21.32,80,1,4,-13.6,0
C10274,Tizi Ouzou,Prepaid,40,1748.95,19.41,45,2,3,34.6,0
C10275,Chlef,Prepaid,7,1598.96,3.16,68,0,2,-4.0,0
C10276,Ouargla,Prepaid,16,1851.14,6.76,37,1,3,-1.4,0
C10277,Tiaret,Prepaid,18,1373.59,2.97,28,1,1,-20.0,0
C10278,Tiaret,Prepaid,24,1712.82,7.93,79,0,2,6.7,0
C10279,Annaba,Prepaid,17,1268.28,77.86,41,2,4,-2.7,0
C10280,Tiaret,Prepaid,27,1706.23,1.95,36,0,3,45.4,0
C10281,Setif,Prepaid,33,743.89,0.56,61,1,5,65.3,1
C10282,Tlemcen,Postpaid,48,3749.7,6.9,58,2,1,-20.0,0
C10283,Biskra,Postpaid,18,3327.0,17.58,34,0,1,18.1,0
C10284,Biskra,Prepaid,35,1400.69,16.44,70,0,1,48.5,0
C10285,Blida,Prepaid,7,1201.15,15.43,40,0,6,23.6,0
C10286,Batna,Prepaid,39,909.87,7.2,53,0,7,-13.8,0
C10287,Tizi Ouzou,Prepaid,28,996.28,13.07,23,2,3,30.6,0
C10288,Chlef,Postpaid,20,2648.6,51.84,43,3,1,-1.7,0
C10289,Batna,Prepaid,14,625.69,22.41,37,0,1,-10.4,0
C10290,Oran,Prepaid,8,751.94,5.87,55,1,2,14.2,1
C10291,Annaba,Prepaid,39,1541.09,2.18,107,0,3,12.6,0
C10292,Annaba,Prepaid,2,1203.1,8.59,34,1,3,43.2,1
C10293,Oran,Postpaid,22,1347.01,9.41,37,1,1,46.2,0
C10294,Blida,Prepaid,13,1927.22,1.89,41,0,5,62.6,0
C10295,Algiers,Prepaid,5,1730.36,2.13,22,0,5,0.3,0
C10296,Bejaia,Prepaid,22,1184.81,6.57,52,1,1,17.9,0
C10297,Chlef,Postpaid,11,2914.52,29.01,33,0,1,22.4,0
C10298,Annaba,Prepaid,10,1629.19,9.32,42,1,2,-8.4,0
C10299,Bejaia,Prepaid,15,1844.99,9.35,58,0,2,1.8,0
C10300,Annaba,Postpaid,10,1878.5,9.98,52,0,1,-20.0,0
C10301,Algiers,Postpaid,4,2404.03,13.12,55,0,1,4.6,0
C10302,Oran,Postpaid,41,2200.28,15.84,64,0,1,10.6,0
C10303,Tiaret,Prepaid,43,1468.92,45.6,46,1,3,32.4,0
C10304,Biskra,Prepaid,29,1172.23,4.55,59,0,3,39.8,0
C10305,Algiers,Prepaid,10,1285.23,25.19,20,1,2,31.0,1
C10306,Annaba,Prepaid,6,1549.2,3.97,2,0,3,45.1,1
C10307,Oran,Prepaid,29,1483.33,7.21,86,3,2,-12.6,1
C10308,Tizi Ouzou,Prepaid,11,871.72,4.75,85,0,3,34.5,0
C10309,Algiers,Prepaid,30,1452.88,37.54,75,1,4,33.3,0
C10310,Ghardaia,Prepaid,23,1653.18,1.77,101,1,1,18.7,0
C10311,Blida,Prepaid,17,1293.9,39.0,60,2,1,13.4,1
C10312,Oran,Prepaid,12,2343.84,12.07,62,0,1,25.7,0
C10313,Chlef,Prepaid,5,701.44,1.24,33,0,1,45.8,1
C10314,Annaba,Prepaid,36,1168.42,5.06,2,1,2,19.8,0
C10315,Setif,Prepaid,16,1143.08,49.64,26,0,4,6.4,0
C10316,Biskra,Prepaid,20,946.5,6.13,52,0,2,44.0,0
C10317,Batna,Postpaid,3,3496.9,7.46,30,1,1,10.9,0
C10318,Annaba,Prepaid,21,1233.57,29.61,41,0,1,15.4,0
C10319,Chlef,Prepaid,19,1746.36,10.61,35,1,5,34.4,0
C10320,Constantine,Prepaid,18,2027.41,34.52,23,0,1,13.6,0
C10321,Tiaret,Prepaid,26,517.7,18.25,57,0,3,41.0,0
C10322,Tizi Ouzou,Postpaid,39,2291.68,16.31,71,0,1,-17.3,0
C10323,Tizi Ouzou,Prepaid,1,2030.66,19.82,21,1,3,-6.0,0
C10324,Bejaia,Prepaid,33,2227.7,28.39,36,1,2,-20.0,0
C10325,Bejaia,Prepaid,14,1415.54,12.43,47,0,3,16.0,0
C10326,Batna,Prepaid,7,1867.21,0.73,2,0,4,25.8,1
C10327,Annaba,Prepaid,25,1125.63,5.76,28,1,3,31.9,0
C10328,Ouargla,Prepaid,1,1212.59,2.46,2,0,4,30.2,1
C10329,Batna,Prepaid,11,1052.7,0.82,28,0,5,54.2,1
C10330,Ouargla,Prepaid,5,1788.01,3.66,61,0,3,34.0,0
C10331,Tlemcen,Postpaid,31,2939.39,6.26,32,1,1,37.3,0
C10332,Annaba,Postpaid,13,1413.11,5.61,6,0,1,5.7,0
C10333,Oran,Postpaid,30,2952.84,20.3,33,0,1,37.5,0
C10334,Oran,Prepaid,30,2244.22,7.85,87,0,4,-3.4,0
C10335,Biskra,Prepaid,25,741.86,26.51,26,0,3,-6.2,0
C10336,Tlemcen,Prepaid,14,1666.74,11.12,90,0,2,40.2,0
C10337,Blida,Postpaid,45,3868.24,34.89,71,0,1,26.0,0
C10338,Tlemcen,Prepaid,52,1522.41,15.94,71,1,4,31.3,0
C10339,Tlemcen,Prepaid,14,1423.0,11.39,20,0,5,-4.0,0
C10340,Batna,Prepaid,30,1760.57,0.5,31,0,1,30.2,1
C10341,Ghardaia,Prepaid,1,1838.23,1.4,34,0,1,14.2,1
C10342,Tiaret,Prepaid,37,1569.01,15.63,12,1,2,23.5,0
C10343,Algiers,Prepaid,48,1751.44,9.7,55,1,4,3.5,0
C10344,Biskra,Prepaid,12,1608.22,10.91,33,0,7,44.5,0
C10345,Biskra,Prepaid,34,1637.58,4.07,47,0,6,35.9,0
C10346,Biskra,Postpaid,44,2973.15,2.95,95,1,1,32.7,0
C10347,Oran,Prepaid,12,1322.22,15.76,75,0,2,7.9,0
C10348,Algiers,Prepaid,19,910.59,5.8,44,0,2,26.5,0
C10349,Tlemcen,Postpaid,2,2154.1,15.09,18,0,1,1.9,0
C10350,Tiaret,Postpaid,19,2932.06,12.89,21,0,1,-20.0,0
C10351,Blida,Prepaid,6,1220.65,28.77,74,0,6,42.6,0
C10352,Ouargla,Prepaid,18,1004.15,2.17,30,0,1,64.3,0
C10353,Ghardaia,Prepaid,36,1558.57,24.7,39,1,6,29.0,0
C10354,Oran,Prepaid,22,400.0,9.19,58,2,3,0.3,0
C10355,Annaba,Prepaid,55,983.97,32.58,35,0,3,7.7,0
C10356,Annaba,Prepaid,22,1609.1,11.33,35,1,5,26.7,0
C10357,Annaba,Prepaid,17,1688.4,11.87,19,0,4,18.6,0
C10358,Chlef,Prepaid,4,1466.14,2.5,30,0,3,3.1,0
C10359,Batna,Prepaid,20,400.0,2.2,39,0,5,57.4,1
